01 00000000 00007079 Dummy track 
02 00007079 00094589 Cut1 "Great Wall"
03 00094589 00210991 Cut2 "Opera House"
04 00210991 00348865 Cut3 "Diving Area"
05 00348865 00358713 Lara
06 00358713 00367464 Lara
07 00367464 00374569 Lara
08 00374569 00381649 Lara
09 00381648 00389537 Lara
10 00389537 00403173 Lara
11 00403173 00420623 Lara
12 00420623 00431046 Lara
13 00431046 00443010 Lara
14 00443010 00450089 Lara
15 00450089 00457169 Lara
16 00457168 00464248 Lara
17 00464248 00475141 Lara
18 00475141 00482220 Lara
19 00482220 00489325 Lara
20 00489325 00496431 Lara
21 00496431 00503510 Lara
22 00503510 00510615 Lara
23 00510615 00529345 In a bathroom scene
24 00529345 00540421 ...
25 00540421 00547500 Lara
26 00547500 00601443 Cut4 "Temple of Xian"
27 00601443 00721658 ...
28 00721658 00841508 ...
29 00841508 01010024 ...
30 01010024 01195885 ...
31 01195885 01205733 ...
32 01205773 01212447 ...
33 01212447 01230994 ...
34 01230994 01287523 ...
35 01287523 01309492 ...
36 01309492 01470484 Venice
37 01470484 01484747 Level end
38 01484747 01498253 ...
39 01498253 01515180 ...
40 01515180 01535085 ...
41 01535085 01596238 ...
42 01596238 01631712 ...
43 01631712 01638164 Secret found
44 01638164 01654204 ...
45 01654204 01666246 ...
46 01666246 01680666 ...
47 01680666 01691167 ...
48 01691167 01856339 Titles theme
49 01856339 01929743 ...
50 01929743 01939435 ...
51 01939435 01983608 ...
52 01983608 01995493 ...
53 01995493 02046641 ...
54 02046641 02258311 ...
55 02258313 02470138 ...
56 02470138 02577920 ...
57 02577920 02603598 ...
58 02603598 02627474 ...
59 02627474 02647275 ...
60 02647275 02815973 Title
